For each of the original names, this files finds
the most similiar counterpart in the new names dataset using the LCS algorithm,
a sequence similarity algorithm, and
finding any new names such that the new name is a subset of the original name or
the original name is a subset of the new name.Original Name: New Name (LCS), New Name (Sequence Similarity), [Subset Names]
Deforest: Dreston, Dreston, []
Avrumi: Jarriel, Hami, []
Yandel: Arandlo, Santel, []
Kartik: Jakarri, Cartin, []
Cadyn: Sadien, Paydn, []
Julen: Aulen, Aulen, []
Randolf: Arandlo, Arandlo, []
Allah: Mamcell, Maulan, []
Cage: Kocantienic, Kame, []
Isac: Naisan, Naisan, []
June: Beeuander, Beeuander, []
Doron: Ronerton, Iederion, []
Eleanor: Aleisander, Belar, []
Keala: Belar, Belar, []
Lathan: Matuhaun, Patan, []
Vijay: Nhilnays, Nhilnays, []
Carver: Darier, Jarer, []
Marquel: Jarriel, Larqu, []
Griffen: Jarien, Jarien, []
Shamar: Kamanri, Kamanri, []
John: Roeranthln, Kohnai, []
Moishy: Conistnph, Mamis, []
Amer: Rammer, Hamer, [, Hamer]
Alexes: Alexe, Alexe, []
Keifer: Kakeer, Kakeer, []
Duc: Elaydus, Elaydus, []
Jaykob: Makoo, Makoo, []
Josedaniel: Carniel, Carniel, []
Hammond: Saymond, Saymond, []
Dhruva: Taruan, Shraj, []
Rhea: Narqhan, Arhel, []
Donavyn: Anayan, Anayan, []
Deklan: Seerlan, Telan, []
Mackenzie: Kakeer, Macki, []
Alessio: Desso, Desso, []
Lenox: Alexe, Jeno, []
Eamonn: Roeranthln, Uaymnn, []
Clell: Mamcell, Mamcell, []
Gobel: Rigoeal, Rigoeal, []
Yuepheng: Thaden, Aulen, []
Alston: Saston, Saston, []
Jahmari: Kamanri, Kamanri, []
Evander: Aleisander, Mander, []
Jerret: Rerre, Rerre, []
Waddell: Mamcell, Madiel, []
Aleister: Aleisander, Aleisander, []
Treyon: Srayion, Srayion, []
Slayde: Clayden, Clayden, []
Salah: Maulan, Maulan, []
Jossue: Jossen, Jossen, []
Azariah: Gariah, Gariah, []
Alford: Jawlon, Hard, []
Kortez: Cortee, Cortee, []
Nicco: Prenticl, Arandio, []
Mubarak: Narqhan, Saria, []
Kervens: Mercen, Mercen, []
Cherokee: Eeroey, Eeroey, []
Flint: Taltin, Trint, []
Dylon: Jawlon, Jawlon, []
Yovani: Kocantienic, Koan, []
Escher: Aleisander, Kacer, []
Jayvien: Wayien, Wayien, []
Kenji: Denitr, Denitr, []
Eddison: Iederion, Iederion, []
Amogh: Rammo, Rammo, []
Thiago: Riaro, Riaro, []
Mathias: Nhilnays, Amatio, []
Hoke: Kakeer, Mhak, []
Yer: Rayder, Rayder, []
Hays: Nhilnays, Nhilnays, []
Nasim: Kasrie, Iarim, []
Mika: Amikn, Amikn, []
Arnez: Larnyeo, Harney, []
Tadeo: Derasdo, Saide, []
Zyaire: Jarriel, Care, []
Jerid: Derasdo, Lerhi, []
Jansen: Kocantienic, Kassen, []
Esaias: Jasarious, Jaia, []
Leng: Alexsan, Aulen, []
Jaheem: Labhee, Labhee, []
Shaunak: Dasharnh, Pashawn, []
Secundino: Kendirto, Kendirto, []
Manny: Imanin, Imanin, []
Yadriel: Jarriel, Rariel, []
Blayze: Clayden, Clayden, []
Kwabena: Labhee, Lakan, []
Manveer: Kakeer, Janer, []
Jibran: Aniran, Riran, []
Alasdair: Elandi, Sadir, []
Cree: Ardee, Bree, []
Deryk: Jerny, Jerny, []
Torrie: Jarriel, Earrie, []
Lonie: Jeonie, Jeonie, []
Oshea: Rigoeal, Jashe, []
Jamelle: Mamcell, Mamcell, []
Wilton: Jawlon, Jawlon, []
Deshun: Crrden, Adeen, []
Callahan: Narqhan, Tahan, []
Lori: Alaria, Alaria, []
Darron: Narron, Narron, []
Kerby: Jerny, Jerny, []
Pryce: Larnyeo, Mercen, []
Verlyn: Seerlan, Seerlan, []
Purvis: Zorravius, Murie, []
Jakson: Taslon, Taslon, []
Alcuin: Taltin, Macin, []
Zackry: Kakeer, Kacer, []
Avyaan: Anayan, Wayan, []
Devante: Alderander, Santel, []
Jakeb: Kakeer, Nakes, []
Lenton: Dleston, Dleston, []
Makoto: Makoo, Makoo, []
Gustavo: Ruentanious, Gaivon, []
Donta: Dontarious, Deionta, []
Zvi: Javinn, Azani, []
Javar: Kamanri, Jalarn, []
Lydell: Cladeel, Cladeel, []
Anakin: Vaynin, Tanan, []
Daymian: Damitan, Yayian, []
Francisco: Arandio, Arandio, []
Algenis: Glaniis, Sanis, []
Atreyu: Jarrey, Matru, []
Khayree: Sarneel, Thare, []
Shabab: Thahand, Shada, []
Jaydan: Paydn, Paydn, []
Jerrod: Lerario, Lerrnd, []
Ruddy: Crrden, Hard, []
Zoltan: Altwan, Altwan, []
Trinity: Kocantienic, Trint, []
Corban: Brbyan, Brbyan, []
Keylan: Seerlan, Telan, []
Ahyan: Narqhan, Tahan, []
Rook: Bristoo, Aroon, []
Jalan: Maulan, Maulan, []
Maximilliano: Damitan, Damitan, []
Montel: Santel, Santel, []
Dontavious: Dontarious, Dontarious, []
Juandavid: Elandi, Manai, []
Winter: Aleisander, Tidonder, []
Taim: Bastam, Iarim, []
Dedric: Mareric, Mareric, []
Demarco: Jermardo, Jermardo, []
Anthonyjr: Roeranthln, Anthonin, []
Rayshaun: Dasharnh, Pashawn, []
Tajh: Ariah, Ariah, []
Kimble: Ladkie, Jakil, []
Suhas: Jasarious, Juhan, []
Arvil: Jarriel, Jarril, []
Kaydin: Sadien, Paydn, []
Edmond: Iederion, Delond, []
Kobe: Kabobel, Kabobel, []
Loras: Zorravius, Aleos, []
Liborio: Albrani, Ralario, []
Octavious: Dontarious, Dontarious, []
Claude: Cladeel, Cladeel, []
Marlin: Kamanri, Harln, []
Eithen: Deonite, Deonite, []
