For each of the original names, this files finds
the most similiar counterpart in the new names dataset using the LCS algorithm,
a sequence similarity algorithm, and
finding any new names such that the new name is a subset of the original name or
the original name is a subset of the new name.Original Name: New Name (LCS), New Name (Sequence Similarity), [Subset Names]
Sue: Carsiean, Risela, []
Rebeccah: Marresha, Barlee, []
Bella: Lellah, Lellah, []
Karrie: Marrice, Marrie, []
Sabella: Zamelia, Hanell, []
Nayzeth: Kathari, Laylee, []
Ashlynn: Karelynn, Karelynn, []
Jerry: Lerria, Lerria, []
Aleia: Lalira, Lalira, []
Parker: Karer, Karer, []
Kandice: Canilee, Ladie, []
Tinamarie: Dilanarie, Sinmie, []
Leota: Natletta, Natletta, []
Jezelle: Nardeelle, Merelle, []
Estella: Lellah, Lesla, []
Marianne: Marianee, Marianee, []
Alicia: Lalira, Lalira, []
Susy: Marissia, Latissa, []
Venecia: Anielina, Cenisha, []
Janeli: Anielina, Hanell, []
Jenifer: Anielina, Anieli, []
Aneta: Janesta, Janesta, []
Kalin: Ellaline, Aralina, []
Esabella: Zamelia, Lesla, []
Donita: Sonisha, Sonisha, []
Liddie: Aliea, Aliea, []
Yoseline: Domelinea, Domelinea, []
Willena: Anielina, Kille, []
Sharlyn: Karelynn, Karelynn, []
Mary: Narely, Maray, []
Hildy: Sherrila, Sherrila, []
Zailey: Canilee, Lailen, []
Daliah: Lalira, Lalira, []
Clemencia: Zamelia, Algena, []
Lashone: Ellaline, Ellaline, []
Camie: Sharite, Jarie, []
Elda: Zenda, Zenda, []
Amyia: Kameya, Camia, []
Tashara: Lasharia, Lasharia, []
Deolinda: Anielina, Anielina, []
Genise: Cenisha, Cenisha, []
Alyssa: Marissia, Laleya, []
Emogene: Domelinea, Delene, []
Star: Kathari, Kathari, []
Emmi: Cleoli, Leris, []
Cyndy: Jaclilyn, Jaclilyn, []
Mattea: Karretta, Jattie, []
Christy: Sharite, Sharite, []
Ronnie: Marianie, Marianie, []
Eudell: Nardeelle, Merelle, []
Alisa: Lalira, Lalira, []
Corlis: Cleoli, Leris, []
Donyale: Canilee, Koley, []
Ailani: Marianie, Marianie, []
Fredericka: Kareria, Kareria, []
Damia: Zamelia, Camia, []
Salena: Natletta, Lailen, []
Lahoma: Kathari, Saman, []
Mika: Samika, Samika, [, Samika]
Goldy: Koley, Koley, []
Kenya: Makenia, Makenia, []
Bernetha: Marresha, Anbert, []
Martika: Martiea, Martiea, []
Adreanna: Daranina, Daranina, []
Mileena: Marialeen, Marialeen, []
Birdie: Dilanarie, Jarie, []
Jakyla: Shakiyah, Naka, []
Mattie: Jattie, Jattie, []
Concha: Sonisha, Sonisha, []
Juan: Auanee, Auanee, []
Rubi: Guida, Guida, []
Keith: Cenisha, Cenisha, []
Beatrice: Natrice, Natrice, []
Maricella: Aariela, Aariela, []
Kamyah: Samah, Samah, []
Marcelle: Carlelle, Carlelle, []
Marijane: Marianee, Marianee, []
Lisbet: Aliea, Aliea, []
Cipriana: Marianua, Ririna, []
Zaire: Lalira, Karer, []
Brielle: Carielle, Carielle, []
Daphney: Kathnyn, Kaney, []
Yeraldin: Aralina, Aralina, []
Cherokee: Markeste, Merelle, []
Kayla: Lalira, Kayan, []
Ellie: Carlelle, Delinee, []
Golden: Korden, Korden, []
Malayna: Marianua, Alanda, []
Malky: Narely, Araly, []
Abbigayle: Marialeen, Marialee, []
Saige: Sharite, Jarie, []
Niomi: Anielina, Anieli, []
Marquita: Mariarita, Taria, []
Kambria: Marianua, Taria, []
Kiran: Marianua, Hrana, []
Maurice: Marrice, Marrice, []
Lacey: Kacelynn, Kacelynn, []
Aariyah: Alariah, Alariah, []
Lanetta: Karretta, Janesta, []
Brandy: Kariarnd, Kariarnd, []
Mariaclara: Mariarita, Karila, []
Glinda: Anielina, Alanda, []
Kaneesha: Marresha, Sanisha, []
Karianne: Marianee, Marianee, []
Linden: Ellaline, Delinee, []
Temple: Lateline, Ateleen, []
Sanaa: Ranara, Ranara, []
Maris: Marissia, Marissia, []
Collette: Korette, Korette, []
Necole: Janelee, Janelee, []
Kennedi: Makenia, Makenia, []
Fredda: Zenda, Zenda, []
Brihanna: Larianna, Larianna, []
Joleigh: Cleoli, Koley, []
Annice: Canilee, Shanni, []
Caelan: Karelynn, Zamelia, []
Jalena: Natletta, Lailen, []
Marnita: Daranina, Daranina, []
Raelene: Janelee, Delene, []
Aira: Lalira, Lalira, []
Takeisha: Marresha, Lakisa, []
Nastassja: Latissa, Latissa, []
Ambar: Kathari, Samah, []
Ishika: Sonisha, Sonisha, []
Shanya: Shaneya, Shaneya, []
Citlally: Jaclilyn, Jaclilyn, []
Neomi: Cleoli, Cleoli, []
Kaira: Lalira, Lalira, []
Amilia: Zamelia, Zamelia, []
Tawny: Kathnyn, Kaney, []
Mendy: Zenda, Zenda, []
Joselyn: Karelynn, Nenlynn, []
Stormi: Kathari, Hatrie, []
Unique: Anielina, Anieli, []
Lillian: Ellaline, Aliela, []
Rosenda: Zenda, Zenda, []
Zyria: Marianua, Taria, []
Rashell: Carlelle, Hanell, []
Adelyn: Karelynn, Karelynn, []
Abena: Makenia, Makenia, []
Tracee: Marianee, Macelen, []
Fumiko: Samika, Samika, []
Adyson: Karelynn, Kayan, []
Mallie: Carlelle, Carlli, []
Elizabella: Aliela, Hanell, []
Ralph: Marali, Araly, []
Lillee: Canilee, Kille, []
Pola: Domelinea, Alai, []
Sharen: Sharnen, Sharnen, []
Cambry: Narely, Maray, []
Salvador: Lalira, Dliva, []
Sable: Canilee, Laylee, []
Denasia: Anaria, Anaria, []
Chloe: Sharoaen, Macelen, []
Julianna: Larianna, Larianna, []
Onie: Anielina, Koliee, []
Mafalda: Marianua, Lalira, []
Talya: Laleya, Laleya, []
Kateri: Kathari, Hatrie, []
Ahtziri: Kathari, Hatrie, []
Salvatrice: Natrice, Natrice, []
Sheridan: Lasharia, Lasharia, []
Adalyn: Karelynn, Karelynn, []
Johna: Vosha, Vosha, []
Nathaly: Kathari, Kathah, []
Judith: Guida, Auha, []
Laquinta: Marianua, Alanda, []
Sehaj: Marresha, Vosha, []
Byanka: Sayana, Sayana, []
Crista: Mariarita, Lerisa, []
Jianna: Larianna, Larianna, []
Issa: Marissia, Latissa, [, Latissa]
Janylah: Sianiyah, Sianiyah, []
Yaffa: Sayana, Sayana, []
Ingrid: Dilanarie, Dilanarie, []
Kathy: Kathnyn, Kathnyn, []
Esme: Markeste, Markeste, []
Rainey: Ellaline, Kaney, []
Cheyenne: Kacelynn, Kacelynn, []
Camellia: Zamelia, Zamelia, []
Davianna: Larianna, Larianna, []
Iyanna: Larianna, Layanna, []
Brinley: Marianee, Larile, []
Aniston: Kanisa, Kanisa, []
Zaryah: Alariah, Marahe, []
Keya: Kameya, Keyna, []
Leyah: Laleya, Laleya, []
Fabienne: Davinne, Davinne, []
Lei: Cleoli, Cleoli, []
Kimberely: Narely, Narely, []
Rilyn: Karelynn, Karelynn, []
Nicki: Anielina, Anieli, []
Myiah: Samah, Samah, []
Biridiana: Marianua, Ririna, []
Leda: Zenda, Zenda, []
Yee: Laylee, Laylee, []
Eusebia: Guida, Guida, []
Julio: Guida, Alai, []
Karely: Narely, Narely, []
Maryalice: Marali, Marali, []
Lucetta: Natletta, Natletta, []
Meghann: Shanni, Shanni, []
Jennyfer: Karelynn, Anbert, []
Gearldine: Ellaline, Delinee, []
Asha: Marresha, Sanisha, [, Lasharia]
Railynn: Karelynn, Karelynn, []
Yakelin: Lateline, Lateline, []
Tenzin: Lateline, Lateline, []
Ceil: Sherrila, Macelen, []
Braelynn: Karelynn, Karelynn, []
Honor: Sharoaen, Sharoaen, []
Alice: Marrice, Marrice, []
Hayleigh: Laylee, Laylee, []
Marisabel: Dariel, Dariel, []
Adalyne: Karelynn, Karelynn, []
Hensley: Nenlynn, Nenlynn, []
Lonna: Anielina, Alanda, []
Haya: Shaneya, Shaneya, []
Annabel: Hanell, Hanell, []
Tiara: Mariarita, Maray, []
Zanaya: Ranara, Ranara, []
Samuel: Zamelia, Kameli, []
Allyson: Jaclilyn, Jaclilyn, []
Tani: Canilee, Santi, []
Lonnie: Dilanarie, Aliea, []
Makaela: Zamelia, Zamelia, []
Jael: Narely, Narely, []
Rawan: Marianua, Saman, []
Zamya: Kameya, Kameya, []
Shaliyah: Shakiyah, Shakiyah, []
An: Marianua, Anan, [, Marianua, Canilee, Kanisa, Shanni, Alanda, Sayana, Hanell, Daranina, Ranara, Santi, Betlande, Marianee, Sanisha, Carsiean, Tanira, Phanisa, Anan, Janelee, Marianie, Sianiyah, Saman, Dilanarie, Marianette, Larhana, Shaneya, Larianna, Makani, Rianua, Hrana, Marhanue, Layanna, Kayan, Anania, Shannay, Anani, Ranika, Alexandel, Janesta, Alania, Argana, Karianna, Eevanay, Sanarah, Auanee, Kaney]
Allegra: Lalira, Lalira, []
Jerri: Lerria, Lerria, []
Jannat: Daranina, Layanna, []
Anne: Davinne, Davinne, []
Mazzy: Narely, Lima, []
Aalia: Lalira, Lalira, []
Kilee: Canilee, Canilee, []
Azlynn: Karelynn, Karelynn, []
Johnsie: Anielina, Shanni, []
Tempest: Martlee, Martlee, []
Shunta: Marresha, Vosha, []
Laury: Narely, Maray, []
Katty: Karretta, Jattie, []
Adilynn: Karelynn, Karelynn, []
Jakeria: Kareria, Kareria, []
Brittany: Marianua, Anbria, []
Esli: Cleoli, Lesla, []
Audrie: Sharite, Jarie, []
Meredith: Kamerha, Kamerha, []
Jaretzi: Karretta, Sharei, []
Jalyssa: Marissia, Laleya, []
Alexya: Laleya, Laleya, []
Gladis: Kanisa, Alai, []
Josilyn: Jaclilyn, Jaclilyn, []
Aeryn: Karelynn, Jamesyn, []
Janise: Canilee, Kanisa, []
Dana: Marianua, Hrana, []
Alaiyah: Alariah, Alariah, []
Thora: Kathari, Kathah, []
Lielle: Carlelle, Kille, []
Carol: Narely, Narely, []
Susann: Karelynn, Shanni, []
Chriselda: Aariela, Risela, []
Alline: Ellaline, Ellaline, []
Danica: Kanisa, Kanisa, []
Nafisa: Kanisa, Kanisa, []
Callan: Ellaline, Ellaline, []
Aviva: Marianua, Taria, []
Verlene: Delene, Delene, []
Risha: Marresha, Lerisa, []
Cassey: Narely, Kaney, []
Danyell: Hanell, Hanell, []
Yeni: Cenisha, Cenisha, []
Solveig: Cleoli, Koley, []
Priscella: Aariela, Risela, []
Lakelynn: Karelynn, Karelynn, []
Ameena: Kameya, Kameya, []
Katerine: Lateline, Lateline, []
Sawyer: Rayler, Rayler, []
Laya: Kameya, Kayan, []
Alixandra: Marianua, Lalira, []
Kaya: Kameya, Kayan, []
Mairead: Lalira, Lalira, []
Monserat: Sonisha, Amniea, []
Brienna: Larianna, Larianna, []
Arisa: Marissia, Taria, []
Loreta: Karretta, Korette, []
Maylin: Ellaline, Aralina, []
Sharlotte: Sharite, Sharite, []
Jassmine: Ellaline, Davinne, []
Nadirah: Sanarah, Sanarah, []
Cianni: Shanni, Shanni, []
Kaycee: Laylee, Laylee, []
Jenay: Eevanay, Eevanay, []
Calista: Lalira, Lalira, []
Priscille: Carielle, Carielle, []
Perl: Sherrila, Merelle, []
Christin: Sharite, Sharite, []
Maritza: Mariarita, Taria, []
Soraida: Daranina, Aralina, []
Velda: Zenda, Zenda, []
Congetta: Karretta, Korette, []
Tais: Kanisa, Kanisa, []
Royalty: Araly, Araly, []
Tamar: Kathari, Samah, []
Fae: Narely, Karer, []
Armida: Marianua, Taria, []
Jonette: Korette, Korette, []
Micki: Samika, Samika, []
Patrisha: Marresha, Sanisha, []
Meda: Zenda, Zenda, []
Yael: Narely, Narely, []
Kimaya: Sianiyah, Lima, []
Harue: Sharite, Sharei, []
Jadeyn: Karelynn, Nadoey, []
Glena: Algena, Algena, []
Meghana: Sharnnna, Argana, []
Ellyn: Karelynn, Nenlynn, []
Mignon: Davinne, Darinn, []
Yetta: Karretta, Karretta, []
Fran: Marianua, Hrana, []
Wilda: Guida, Guida, []
Lissette: Marianette, Koliee, []
Miliana: Anielina, Anielina, []
Janisha: Sanisha, Sanisha, []
