For each of the original names, this files finds
the most similiar counterpart in the new names dataset using the LCS algorithm,
a sequence similarity algorithm, and
finding any new names such that the new name is a subset of the original name or
the original name is a subset of the new name.Original Name: New Name (LCS), New Name (Sequence Similarity), [Subset Names]
Aaliyah Brown: Rystal Brown, Rystal Brown, []
Aaliyah Jolie: Maya Bolss, Maya Bolss, []
Aaliyah Love: Takira Monez, May Love, []
Aaralyn Barra: Bayleny Barbbbr, Mary Parter, []
Aarielle Alexis: Carmee Canters, Carmee Canters, []
Abagelle Banks: Carmee Canters, Maya Barks, []
Abata Kupffer: Carmee Canters, Mary Parter, []
Abbey Brooks: Britten Brooks, Mayd Barks, []
Abbie Cat: Cabrie Cartiniton, Cabrie Cartiniton, []
Abbie Lee: Carlie Rteele, Carlie Rteele, []
Abbraxa: Layra Salana, Layra Salana, []
Abby Bynes: Laura Tynners, Laura Tynners, []
Abby Darling: Cabrie Cartiniton, Mary Plari, []
Abby Lane: Layra Salana, Layra Salana, []
Abby Lexus: Mayy Shahelds, Maya Bolss, []
Abby Rode: Beeky Boders, May Love, []
Abby Taylor: Carmie Saylor, Carmie Saylor, []
Abelia: Bearley Black, Bearley Black, []
Abelinda: Samesa Shndlais, Lay Linaoa, []
Abella Anderson: Carlle Caneron, Carlle Caneron, []
Abigail Clayton: Cabrie Cartiniton, Cabrie Cartiniton, []
Abigail Fraser: Laura Siimler, Maya Barks, []
Abigail Toyne: Cabrie Cartiniton, Takira Monez, []
Abigaile Johnson: Cabrie Cartiniton, Cabrie Cartiniton, []
Absolute Starr: Chesiste Carrel, Carmie Rtarr, []
Action Allie: Tami Martine, Carol Coll, []
Ada Costa: Maya Bolss, Maya Bolss, []
Adajja: Layra Salana, Mayd Barks, []
Adanna Royal: Andraa Sol, Lay Linaoa, []
Adara Michaels: Mayy Shahelds, Carmi Cares, []
Adara Sanchez: Takira Monez, Takira Monez, []
Adara Star: Christina Starx, Carmie Rtarr, []
Addie Juniper: Carmee Canters, Carmee Canters, []
Addison Cain: Tami Martine, Tami Martine, []
Addison Rose: Christina Sose, Christina Sose, []
Adela Wimmerova: Andrea Riner, Andrea Riner, []
Adele Stephens: Carmee Canters, Carmee Canters, []
Adele Wiesenthal: Carlie Rteele, Beeky Rteet, []
Adelyn Ames: Beely Shaie, Beely Shaie, []
Adina Jewel: Carlie Rteele, Carlie Rteele, []
Adorable Audrey: Carlee Lorre, Carlle Caneron, []
Adrenalynn: Laura Tynners, Laura Tynners, []
Adriana Amante: Christina Ciame, Christina Ciame, []
Adriana Avalon: Layra Salana, Andraa Sol, []
Adriana Blue: Carsi Dartine, Andraa Sol, []
Adriana Deville: Laura Siimler, Laura Siimler, []
Adriana Esteve: Christina Sose, Carlie Rteele, []
Adriana Kelly: Alexandra Sink, Andraa Sol, []
Adriana Luna: Layra Salana, Andraa Sol, []
Adriana Malkova: Layra Salana, Andraa Sol, []
Adriana Nevaeh: Christina Stone, Christina Stone, []
Adriana Russo: Cardie Coacrss, Andraa Sol, []
Adriana Sage: Christina Sose, Christina Sose, []
Adriana Sephora: Christina Sose, Christina Sose, []
Adriana Taylor: Carmie Saylor, Carmie Saylor, []
Adriana Vega: Carsi Dartine, Carsi Dartine, []
Adriana Wild: Alexandra Sink, Andraa Sol, []
Adrianna Davis: Samesa Shndlais, Samesa Shndlais, []
Adrianna Faust: Carsi Dartine, Laura Tynners, []
Adrianna Laurenti: Carsi Dartine, Carsi Dartine, []
Adrianna Milano: Layra Salana, Layra Salana, []
Adrianna Nicole: Andraa Sol, Andraa Sol, []
Adrianne Black: Bearley Black, Bearley Black, []
Adrienn Levi: Carlie Rteele, Carlie Rteele, []
Adrienna Anelise: Carmee Canters, Carlie Rteele, []
Adrienne: Cabrie Cartiniton, Tami Martine, []
Adrienne Klass: Cardie Coacrss, Cardie Coacrss, []
Adrienne Manning: Cabrie Cartiniton, Cabrie Cartiniton, []
Africa: Carsi Dartine, Carsi Care, []
Agatha Abir: Maya Barks, Maya Barks, []
Agatha Cristine: Christina Lopez, Christina Sose, []
Agatha Meirelles: Mayy Shahelds, Laura Sinmes, []
Agatha Moreno: Crystal Jores, Carlee Lorre, []
Agatha Rangel: Layra Salana, Maty Searl, []
Agnese Stock: Carlee Lorre, Cassie Dox, []
Agostina Bell: Christina Lopez, Christina Sose, []
Ahryan Astyn: Layra Salana, Maya Barks, []
Ai Himeno: Cabrie Cartiniton, Tami Martine, []
Ai Iijima: Laura Siimler, Laura Siimler, []
Ai Kurosawa: Casrie Coooiss, Carmi Cares, []
Ai Nakatsuki: Tami Martine, Mayd Barks, []
Ai Niimura: Laura Siimler, Laura Siimler, []
